Collecting time,Longitude,Latitude,Altitude,Altitude (Ellipsoid)
2025-04-04T03:00:32Z,99.1395008,16.099912,1136,1099
2025-04-04T04:20:32Z,99.0866944,16.1338208,2132.7,2095.5
2025-04-04T04:20:44Z,99.0869568,16.1343632,2137.3,2100.1
2025-04-04T04:21:05Z,99.0865344,16.1351264,2173,2135.8
2025-04-04T04:21:26Z,99.0860288,16.1352288,2190.5,2153.3
2025-04-04T04:21:45Z,99.0834304,16.1369424,2181.3,2145.8
2025-04-04T04:22:05Z,99.0802432,16.1386112,2163.4,2127.9
2025-04-04T04:22:23Z,99.07792,16.1402896,2143.5,2108
2025-04-04T04:22:45Z,99.076224,16.1434784,2104.1,2068.5
2025-04-04T04:23:06Z,99.075264,16.1469472,2069.9,2034.3
2025-04-04T04:23:23Z,99.074816,16.149608,2038.1,2002.5
2025-04-04T04:23:45Z,99.073792,16.1518304,2065.3,2029.7
2025-04-04T04:24:05Z,99.0738048,16.1519312,2082,2046.4
2025-04-04T04:24:24Z,99.0736768,16.1533408,2084.2,2048.6
2025-04-04T04:24:45Z,99.071968,16.15548,2082.2,2046.6
2025-04-04T04:25:05Z,99.0702208,16.1575968,2069.5,2033.9
2025-04-04T04:25:26Z,99.0680512,16.1588496,2061.1,2025.5
2025-04-04T04:25:46Z,99.0662144,16.1598544,2097,2061.4
2025-04-04T04:26:03Z,99.0660416,16.1599536,2130.3,2094.7
2025-04-04T04:26:23Z,99.0659776,16.160208,2175.7,2140.1
2025-04-04T04:26:45Z,99.0665024,16.1627104,2192.3,2156.7
2025-04-04T04:27:05Z,99.0647744,16.1651904,2179.2,2143.6
2025-04-04T04:27:25Z,99.064608,16.1679632,2169,2133.4
2025-04-04T04:27:46Z,99.064992,16.1713424,2148.9,2113.3
2025-04-04T04:28:05Z,99.0649792,16.1741424,2142.5,2106.9
2025-04-04T04:28:25Z,99.0646656,16.1768032,2129.9,2094.3
2025-04-04T04:28:45Z,99.0644672,16.1792848,2128,2092.4
2025-04-04T04:29:05Z,99.0623936,16.1813184,2115.6,2080
2025-04-04T04:29:26Z,99.059328,16.1823456,2071.2,2035.6
2025-04-04T04:29:45Z,99.056704,16.182808,2041.7,2006
2025-04-04T04:30:04Z,99.054016,16.1825472,2017,1981.3
2025-04-04T04:30:24Z,99.0518656,16.1811936,1999.1,1963.4
2025-04-04T04:30:45Z,99.0524544,16.1805744,2013.7,1978
2025-04-04T04:31:05Z,99.0508352,16.1800912,2003.4,1967.7
2025-04-04T04:31:25Z,99.0507456,16.1800272,2015.4,1979.7
2025-04-04T04:31:45Z,99.0505664,16.1803424,2022.2,1986.5
2025-04-04T04:32:05Z,99.0500032,16.1808208,2029.5,1993.8
2025-04-04T04:32:24Z,99.04928,16.1812768,2022.4,1986.7
2025-04-04T04:32:45Z,99.0487232,16.1811024,2037.9,2002.2
2025-04-04T04:33:05Z,99.0480896,16.1809808,2033.8,1998.1
2025-04-04T04:33:24Z,99.0477696,16.1808848,2029.7,1994
2025-04-04T04:33:45Z,99.0470656,16.1809696,2043.3,2007.6
2025-04-04T04:34:05Z,99.0441984,16.1799488,2017.5,1981.8
2025-04-04T04:34:25Z,99.0412672,16.1787888,1996.8,1961.1
2025-04-04T04:34:45Z,99.0393152,16.1775792,2004.3,1968.6
2025-04-04T04:35:05Z,99.0391552,16.177512,2036.6,2000.9
2025-04-04T04:35:24Z,99.0385664,16.177368,2054.3,2018.6
2025-04-04T04:35:45Z,99.0375872,16.1773104,2098.2,2062.5
2025-04-04T04:36:05Z,99.0369856,16.1769824,2138.1,2102.4
2025-04-04T04:36:25Z,99.0364608,16.1764016,2175.5,2139.8
2025-04-04T04:36:45Z,99.035904,16.176432,2201.6,2165.9
2025-04-04T04:37:05Z,99.0359168,16.178208,2206.7,2171
2025-04-04T04:37:24Z,99.0341696,16.1807648,2185.2,2149.5
2025-04-04T04:37:45Z,99.0325248,16.1836944,2190,2154.3
2025-04-04T04:38:04Z,99.0304256,16.1861328,2177.2,2141.5
2025-04-04T04:38:25Z,99.0291072,16.1890048,2171.1,2135.4
2025-04-04T04:38:45Z,99.028768,16.189272,2167.8,2132.1
2025-04-04T04:39:04Z,99.0286656,16.1909424,2163.1,2127.4
2025-04-04T04:39:24Z,99.0289792,16.1933536,2166.5,2130.8
2025-04-04T04:39:45Z,99.0282624,16.1939088,2192.3,2156.6
2025-04-04T04:40:05Z,99.02912,16.194896,2181.7,2146
2025-04-04T04:40:25Z,99.0297472,16.1950048,2178.3,2142.6
2025-04-04T04:40:45Z,99.0285504,16.196304,2175.5,2139.8
2025-04-04T04:41:04Z,99.0297408,16.1963984,2180.8,2145.1
2025-04-04T04:41:24Z,99.027072,16.1969152,2164.8,2129
2025-04-04T04:41:45Z,99.0272704,16.1993328,2162.3,2126.5
2025-04-04T04:42:04Z,99.0267648,16.2017328,2121.3,2085.5
2025-04-04T04:42:24Z,99.0288512,16.2030176,2081.1,2045.3
2025-04-04T04:42:45Z,99.0314432,16.2018912,2041.5,2005.8
2025-04-04T04:43:04Z,99.0336064,16.199648,2026.6,1990.9
2025-04-04T04:43:24Z,99.036128,16.1990704,2035.4,1999.7
2025-04-04T04:43:45Z,99.0391296,16.1995728,2059.5,2023.8
2025-04-04T04:44:04Z,99.0413504,16.20088,2054.7,2019
2025-04-04T04:44:24Z,99.0431808,16.2032992,2014.8,1979.1
2025-04-04T04:44:45Z,99.0443584,16.2064032,1979.3,1943.6
2025-04-04T04:45:04Z,99.0451072,16.2089824,1946.8,1911.1
2025-04-04T04:45:24Z,99.0456256,16.2116848,1916.8,1881.1
2025-04-04T04:45:45Z,99.0458048,16.2144032,1882,1846.3
2025-04-04T04:46:04Z,99.0456448,16.2171696,1856.8,1821.1
2025-04-04T04:46:24Z,99.0461952,16.2201216,1819.6,1783.9
2025-04-04T04:46:45Z,99.0473344,16.2230256,1778.5,1742.8
2025-04-04T04:47:04Z,99.048704,16.2253424,1751.7,1716
2025-04-04T04:47:24Z,99.049792,16.2278208,1713,1677.3
2025-04-04T04:47:45Z,99.0515456,16.2298608,1696.2,1660.5
2025-04-04T04:48:04Z,99.0533376,16.231424,1682.8,1647.1
2025-04-04T04:48:24Z,99.0531136,16.2318976,1699.5,1663.8
2025-04-04T04:48:45Z,99.0539008,16.231736,1715.7,1680
2025-04-04T04:49:04Z,99.0540992,16.2308864,1705,1669.3
2025-04-04T04:49:24Z,99.0537344,16.2302368,1710.7,1675
2025-04-04T04:49:45Z,99.0538688,16.2302384,1727.4,1691.7
2025-04-04T04:50:05Z,99.0538112,16.229736,1743.2,1707.5
2025-04-04T04:50:24Z,99.0538304,16.2294768,1753.9,1718.2
2025-04-04T04:50:45Z,99.0544448,16.2288592,1739,1703.3
2025-04-04T04:51:04Z,99.0525952,16.229792,1723.5,1687.8
2025-04-04T04:51:25Z,99.0524416,16.2299136,1749.2,1713.5
2025-04-04T04:51:44Z,99.052512,16.2299136,1781.4,1745.7
2025-04-04T04:52:04Z,99.0524608,16.229712,1824.7,1789
2025-04-04T04:52:24Z,99.0526272,16.2296368,1856.7,1821
2025-04-04T04:52:45Z,99.0527872,16.2292784,1884.6,1848.9
2025-04-04T04:53:05Z,99.0531008,16.228928,1893.7,1858
2025-04-04T04:53:24Z,99.0512512,16.2300224,1905.4,1869.7
2025-04-04T04:53:45Z,99.0489408,16.2324432,1871.2,1835.5
2025-04-04T04:54:05Z,99.0469824,16.2344592,1834.2,1798.5
2025-04-04T04:54:24Z,99.0455488,16.2368304,1800.2,1764.5
2025-04-04T04:54:45Z,99.0440832,16.2390352,1814.5,1778.8
2025-04-04T04:55:05Z,99.0424064,16.2410352,1798.3,1762.5
2025-04-04T04:55:24Z,99.0427456,16.2410832,1801,1765.2
2025-04-04T04:55:44Z,99.0426944,16.2407728,1827.4,1791.6
2025-04-04T04:56:05Z,99.0426816,16.240808,1861.5,1825.7
2025-04-04T04:56:25Z,99.0425536,16.241528,1884.1,1848.3
2025-04-04T04:56:44Z,99.042656,16.2418384,1896.5,1860.7
2025-04-04T04:57:04Z,99.0435584,16.2409472,1901.1,1865.3
2025-04-04T04:57:24Z,99.043904,16.2416752,1924.3,1888.5
2025-04-04T04:57:44Z,99.0421632,16.2428208,1904.7,1868.9
2025-04-04T04:58:04Z,99.0393152,16.244344,1882,1846.2
2025-04-04T04:58:24Z,99.0364608,16.246136,1842.4,1806.6
2025-04-04T04:58:45Z,99.033536,16.2479136,1818.4,1782.6
2025-04-04T04:59:04Z,99.0310336,16.2497792,1801.6,1765.8
2025-04-04T04:59:24Z,99.0284864,16.2520528,1737.5,1701.7
2025-04-04T04:59:45Z,99.0263616,16.2546192,1694.3,1658.5
2025-04-04T05:00:04Z,99.0249408,16.2574256,1664.2,1628.4
2025-04-04T05:00:24Z,99.0238784,16.2605248,1631.9,1596.1
2025-04-04T05:00:45Z,99.0239232,16.2634544,1636.6,1600.8
2025-04-04T05:01:04Z,99.0237248,16.2637088,1695.9,1660.1
2025-04-04T05:01:25Z,99.0238592,16.2640336,1745.4,1709.6
2025-04-04T05:01:44Z,99.0244416,16.2641168,1799.9,1764.1
2025-04-04T05:02:05Z,99.0246656,16.2639088,1839.4,1803.6
2025-04-04T05:02:24Z,99.0252672,16.2636496,1877.5,1841.7
2025-04-04T05:02:44Z,99.0255424,16.2637264,1897.6,1861.8
2025-04-04T05:03:04Z,99.0254144,16.2631792,1918.6,1882.8
2025-04-04T05:03:24Z,99.0256128,16.26368,1936.9,1901.1
2025-04-04T05:03:45Z,99.0241792,16.2662464,1911.5,1875.7
2025-04-04T05:04:04Z,99.0230208,16.2689952,1871.3,1835.5
