Collecting time,Longitude,Latitude
2025-05-16T00:00:03Z,106.5403968,42.300416
2025-05-16T00:10:03Z,106.540416,42.3004576
2025-05-16T00:20:01Z,106.5403648,42.3004672
2025-05-16T00:30:02Z,106.5403584,42.3004576
2025-05-16T00:40:03Z,106.5404032,42.300464
2025-05-16T00:50:02Z,106.540416,42.3004064
2025-05-16T01:00:03Z,106.5404224,42.3004224
2025-05-16T01:10:02Z,106.5404224,42.3004256
2025-05-16T01:20:02Z,106.5404224,42.300464
2025-05-16T01:30:02Z,106.5403968,42.3004576
2025-05-16T01:40:02Z,106.5404352,42.3004544
2025-05-16T01:50:02Z,106.5404608,42.3004416
2025-05-16T02:00:02Z,106.5406336,42.3005984
2025-05-16T02:10:01Z,106.5408256,42.3005632
2025-05-16T02:20:01Z,106.5411712,42.3008256
2025-05-16T02:30:02Z,106.5405888,42.3004928
2025-05-16T02:40:02Z,106.5419456,42.3001664
2025-05-16T02:50:03Z,106.5418944,42.3001952
2025-05-16T03:00:02Z,106.541632,42.3002144
2025-05-16T03:12:22Z,106.5417408,42.3001888
2025-05-16T03:20:00Z,106.5419008,42.3001472
2025-05-16T03:30:01Z,106.5415936,42.3002752
2025-05-16T03:40:07Z,106.5412032,42.3004352
2025-05-16T03:50:07Z,106.5405184,42.3005536
2025-05-16T04:00:08Z,106.5403584,42.3005856
2025-05-16T04:10:07Z,106.5405056,42.3005856
2025-05-16T04:20:07Z,106.540352,42.3005856
2025-05-16T04:30:07Z,106.5403648,42.3006272
2025-05-16T04:40:08Z,106.540352,42.3005728
2025-05-16T04:50:07Z,106.54032,42.3006368
2025-05-16T05:00:07Z,106.5403648,42.3005568
2025-05-16T05:12:28Z,106.5403968,42.3005344
2025-05-16T05:20:08Z,106.54032,42.3006048
2025-05-16T05:30:07Z,106.5405184,42.3004992
2025-05-16T05:40:07Z,106.5404288,42.3002624
2025-05-16T05:50:07Z,106.5404864,42.3003296
2025-05-16T06:00:07Z,106.5403648,42.3005152
2025-05-16T06:10:06Z,106.5405888,42.3002432
2025-05-16T06:20:08Z,106.5405376,42.3002272
2025-05-16T06:30:07Z,106.5405824,42.3002752
2025-05-16T06:40:08Z,106.540544,42.3004032
2025-05-16T06:50:07Z,106.540416,42.3006048
2025-05-16T07:00:07Z,106.540352,42.3006976
2025-05-16T07:10:07Z,106.5403264,42.3006976
2025-05-16T07:20:06Z,106.5403904,42.3007168
2025-05-16T07:30:08Z,106.5404352,42.3007264
2025-05-16T07:40:06Z,106.5404608,42.3005984
2025-05-16T07:50:09Z,106.54016,42.3012768
2025-05-16T08:00:08Z,106.53984,42.3010816
2025-05-16T08:12:25Z,106.54,42.3009888
2025-05-16T08:20:07Z,106.5400896,42.3009792
2025-05-16T08:30:08Z,106.5400832,42.3010048
2025-05-16T08:40:08Z,106.5400896,42.3009888
2025-05-16T08:50:07Z,106.5402816,42.3009792
2025-05-16T09:00:06Z,106.5401152,42.300864
2025-05-16T09:10:06Z,106.5401408,42.300992
2025-05-16T09:20:09Z,106.54016,42.3012384
2025-05-16T09:30:06Z,106.5534208,42.2958592
2025-05-16T09:40:07Z,106.5544256,42.2958976
2025-05-16T09:50:07Z,106.5544128,42.2960864
2025-05-16T10:00:10Z,106.5544128,42.2961088
2025-05-16T10:10:06Z,106.5540032,42.2961248
2025-05-16T10:20:09Z,106.5544064,42.2961088
2025-05-16T10:30:06Z,106.5543296,42.2960288
