Collecting time,Longitude,Latitude
2021-04-24T04:23:48Z,101.3338546,32.3068442
2021-04-24T04:24:06Z,101.3337741,32.3069276
2021-04-24T04:24:26Z,101.3331979,32.3075737
2021-04-24T04:24:47Z,101.3339019,32.3076616
2021-04-24T04:25:06Z,101.3335823,32.3078163
2021-04-24T04:25:26Z,101.3344726,32.3080954
2021-04-24T04:25:47Z,101.3342123,32.3077282
2021-04-24T04:26:06Z,101.3346885,32.3080555
2021-04-24T04:26:29Z,101.3353596,32.3071964
2021-04-24T04:26:47Z,101.333318,32.3050242
2021-04-24T04:27:07Z,101.3310129,32.3023025
2021-04-24T04:27:26Z,101.3297001,32.2996103
2021-04-24T04:27:47Z,101.3280182,32.2967805
2021-04-24T04:28:07Z,101.32679,32.2936347
2021-04-24T04:28:27Z,101.3256422,32.2907628
2021-04-24T04:28:47Z,101.3250417,32.2884661
2021-04-24T04:29:07Z,101.3242175,32.2861935
2021-04-24T04:29:27Z,101.3229063,32.2840907
2021-04-24T04:29:48Z,101.3214421,32.2819842
2021-04-24T04:30:06Z,101.3208486,32.2815432
2021-04-24T04:30:27Z,101.3222202,32.2817104
2021-04-24T04:30:47Z,101.3226573,32.2822326
2021-04-24T04:31:08Z,101.3232672,32.2840385
2021-04-24T04:31:26Z,101.3230536,32.2835698
2021-04-24T04:31:47Z,101.322869,32.2838426
2021-04-24T04:32:07Z,101.321701,32.2826283
2021-04-24T04:32:26Z,101.3217586,32.2827399
2021-04-24T04:32:46Z,101.3207415,32.2810867
2021-04-24T04:33:13Z,101.3207361,32.2797558
2021-04-24T04:33:26Z,101.319753,32.2787256
2021-04-24T04:33:47Z,101.3185021,32.2760615
2021-04-24T04:34:08Z,101.3189271,32.2746421
2021-04-24T04:34:28Z,101.3193206,32.2747576
2021-04-24T04:34:46Z,101.3177683,32.2743018
2021-04-24T04:35:06Z,101.3159269,32.2749815
2021-04-24T04:35:28Z,101.3163121,32.2755024
2021-04-24T04:35:46Z,101.3150762,32.2747429
2021-04-24T04:36:06Z,101.3128028,32.2746189
2021-04-24T04:36:26Z,101.3101459,32.2737487
2021-04-24T04:36:46Z,101.3073141,32.2722229
2021-04-24T04:37:06Z,101.3050208,32.2706309
2021-04-24T04:37:26Z,101.3031804,32.270017
2021-04-24T04:37:47Z,101.3014614,32.2694137
2021-04-24T04:38:08Z,101.3026266,32.270414
2021-04-24T04:38:27Z,101.3070176,32.2727124
2021-04-24T04:38:47Z,101.3120712,32.2751053
2021-04-24T04:39:09Z,101.316931,32.2777918
2021-04-24T04:39:31Z,101.3201493,32.2794386
2021-04-24T04:39:50Z,101.3222936,32.2803619
2021-04-24T04:40:07Z,101.3236327,32.2814739
2021-04-24T04:40:32Z,101.3232875,32.2813861
2021-04-24T04:40:46Z,101.3232699,32.2814263
2021-04-24T04:41:06Z,101.32319,32.2814824
2021-04-24T04:50:23Z,101.3229485,32.2816012
2021-04-24T05:00:31Z,101.3229465,32.2815709
2021-04-24T05:10:12Z,101.3229641,32.2815363
2021-04-24T05:20:09Z,101.3093979,32.2913851
2021-04-24T05:20:28Z,101.3070487,32.2930643
2021-04-24T05:20:47Z,101.3043971,32.2949459
2021-04-24T05:21:07Z,101.301428,32.2965974
2021-04-24T05:21:30Z,101.2986079,32.297189
2021-04-24T05:21:49Z,101.2959367,32.2967341
2021-04-24T05:22:09Z,101.2938244,32.2962198
2021-04-24T05:22:28Z,101.2948684,32.2958683
2021-04-24T05:22:48Z,101.2954705,32.2957293
2021-04-24T05:23:08Z,101.2963788,32.2947215
2021-04-24T05:23:28Z,101.2965137,32.2941577
2021-04-24T05:23:46Z,101.2946575,32.2931694
2021-04-24T05:24:07Z,101.2914811,32.2923464
2021-04-24T05:24:27Z,101.2877352,32.2919731
2021-04-24T05:24:48Z,101.2836991,32.2922603
2021-04-24T05:25:08Z,101.2811957,32.2924306
2021-04-24T05:25:29Z,101.2793971,32.2929279
2021-04-24T05:25:53Z,101.2789998,32.2926358
2021-04-24T05:26:12Z,101.2789905,32.2926317
2021-04-24T05:26:29Z,101.2790105,32.2926501
2021-04-24T05:30:08Z,101.2789671,32.2926337
2021-04-24T05:40:23Z,101.2792862,32.2926456
2021-04-24T05:50:10Z,101.2764605,32.2925843
2021-04-24T06:00:08Z,101.2764387,32.2925563
2021-04-24T06:10:10Z,101.2764218,32.2925842
2021-04-24T06:20:08Z,101.2764338,32.2925808
2021-04-24T06:30:08Z,101.2764294,32.2925766
2021-04-24T06:40:08Z,101.2764378,32.2925569
2021-04-24T06:50:08Z,101.2764394,32.2925718
2021-04-24T07:00:28Z,101.2764309,32.2925721
2021-04-24T07:10:22Z,101.2764172,32.292587
2021-04-24T07:20:06Z,101.2765493,32.2926801
2021-04-24T07:30:06Z,101.2764492,32.2925556
2021-04-24T07:40:09Z,101.2764711,32.2925926
2021-04-24T07:50:31Z,101.2764445,32.2925706
2021-04-24T08:00:05Z,101.276721,32.2958017
2021-04-24T08:10:06Z,101.2767635,32.2957816
2021-04-24T08:20:06Z,101.2766176,32.2959161
2021-04-24T08:30:05Z,101.2766881,32.2958852
2021-04-24T08:40:05Z,101.2766967,32.2958346
2021-04-24T08:50:06Z,101.2766281,32.2958634
2021-04-24T09:00:07Z,101.2766562,32.2958517
2021-04-24T09:10:05Z,101.2766198,32.2958408
2021-04-24T09:20:05Z,101.2766807,32.2958436
2021-04-24T09:30:05Z,101.2766327,32.2958577
2021-04-24T09:40:07Z,101.2766208,32.2958828
2021-04-24T09:50:05Z,101.2766281,32.2958689
2021-04-24T10:00:31Z,101.2766669,32.295871
2021-04-24T10:10:06Z,101.2766812,32.2958435
2021-04-24T10:20:05Z,101.2766868,32.2959114
2021-04-24T10:30:05Z,101.276693,32.2958915
2021-04-24T10:40:16Z,101.2799689,32.2920834
2021-04-24T10:50:25Z,101.2799804,32.2920769
2021-04-24T11:00:31Z,101.279973,32.29207
2021-04-24T11:10:06Z,101.279986,32.2920154
2021-04-24T11:20:07Z,101.2799144,32.2921573
2021-04-24T11:30:06Z,101.2799759,32.2920928
2021-04-24T11:40:05Z,101.2799652,32.2920722
2021-04-24T11:50:06Z,101.2828621,32.2855421
2021-04-24T11:50:25Z,101.2841815,32.2835861
2021-04-24T11:50:45Z,101.2848013,32.281482
2021-04-24T11:51:05Z,101.285371,32.2795274
2021-04-24T11:51:25Z,101.2850096,32.2780667
2021-04-24T11:51:45Z,101.2851831,32.2757096
2021-04-24T11:52:05Z,101.285437,32.2739062
2021-04-24T11:52:25Z,101.2855444,32.2730984
2021-04-24T11:52:45Z,101.2857572,32.2728861
2021-04-24T11:53:05Z,101.285386,32.271985
2021-04-24T11:53:25Z,101.2843348,32.2728868
2021-04-24T11:53:45Z,101.2799088,32.2746052
2021-04-24T11:54:05Z,101.276735,32.2758575
2021-04-24T11:54:25Z,101.2750465,32.2774989
2021-04-24T11:54:45Z,101.2755375,32.277343
2021-04-24T11:55:05Z,101.2753613,32.2780724
2021-04-24T11:55:25Z,101.2713385,32.2796087
2021-04-24T11:55:45Z,101.2663941,32.2811865
2021-04-24T11:56:05Z,101.2639024,32.2835857
2021-04-24T11:56:25Z,101.2589074,32.2846198
2021-04-24T11:56:45Z,101.2566252,32.286349
2021-04-24T11:57:05Z,101.2567652,32.2868562
2021-04-24T11:57:25Z,101.256886,32.2870169
2021-04-24T11:57:45Z,101.2568579,32.2870322
2021-04-24T12:00:15Z,101.2568621,32.2868615
2021-04-24T12:10:15Z,101.2568379,32.2870095
2021-04-24T12:20:10Z,101.2568068,32.2870144
2021-04-24T12:30:15Z,101.2568151,32.2868496
2021-04-24T12:40:12Z,101.2568839,32.2869104
2021-04-24T12:50:11Z,101.256784,32.2870695
2021-04-24T13:00:18Z,101.2568595,32.2870461
2021-04-24T13:10:31Z,101.2568451,32.2870269
2021-04-24T13:20:09Z,101.2568179,32.2870142
2021-04-24T13:30:06Z,101.2568444,32.286993
2021-04-24T13:40:07Z,101.2568152,32.2870462
2021-04-24T13:50:10Z,101.2568557,32.2869301
2021-04-24T14:00:25Z,101.2568603,32.2870471
2021-04-24T14:10:20Z,101.2568602,32.2869821
2021-04-24T14:20:20Z,101.2568469,32.2870106
2021-04-24T14:30:18Z,101.2568941,32.2870034
2021-04-24T14:40:13Z,101.2568553,32.2870324
2021-04-24T14:50:19Z,101.2568825,32.2870368
2021-04-24T15:00:17Z,101.2567763,32.2870405
2021-04-24T15:10:28Z,101.256789,32.2870337
2021-04-24T15:20:31Z,101.25685,32.2870354
2021-04-24T15:30:10Z,101.2568367,32.287072
2021-04-24T15:40:12Z,101.2568474,32.2869938
2021-04-24T15:50:10Z,101.256827,32.2869883
2021-04-24T16:00:10Z,101.2568153,32.2870141
2021-04-24T16:10:10Z,101.2568063,32.2870233
2021-04-24T16:20:11Z,101.2568298,32.287034
2021-04-24T16:30:11Z,101.2568469,32.2870212
2021-04-24T16:40:10Z,101.2568115,32.2870423
2021-04-24T16:50:08Z,101.2568834,32.2869908
2021-04-24T17:00:08Z,101.2568155,32.2869836
2021-04-24T17:10:09Z,101.2568877,32.2870443
2021-04-24T17:20:37Z,101.2568449,32.2870231
2021-04-24T17:30:09Z,101.2568123,32.2870026
2021-04-24T17:40:05Z,101.2569553,32.2870057
2021-04-24T17:51:34Z,101.2568267,32.2870596
2021-04-24T18:01:34Z,101.2566971,32.2870313
2021-04-24T18:11:33Z,101.2567723,32.2869757
2021-04-24T18:30:49Z,101.2567457,32.2870015
2021-04-24T18:41:42Z,101.2568604,32.2870199
2021-04-25T00:00:34Z,101.2582958,32.2899266
2021-04-25T03:00:31Z,101.2874739,32.2736272
2021-04-25T03:00:43Z,101.2866772,32.2740989
2021-04-25T03:01:03Z,101.2874011,32.2739085
